"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2011","2011","PER","Persons","3","thousands",,,22520,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2012","2012","PER","Persons","3","thousands",,,22920,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1995","1995","PER","Persons","3","thousands",,,227,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1996","1996","PER","Persons","3","thousands",,,210,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1997","1997","PER","Persons","3","thousands",,,180,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1998","1998","PER","Persons","3","thousands",,,196,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1999","1999","PER","Persons","3","thousands",,,213,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2000","2000","PER","Persons","3","thousands",,,222,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2001","2001","PER","Persons","3","thousands",,,245,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2002","2002","PER","Persons","3","thousands",,,219,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2003","2003","PER","Persons","3","thousands",,,222,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2004","2004","PER","Persons","3","thousands",,,219,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2005","2005","PER","Persons","3","thousands",,,266,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2006","2006","PER","Persons","3","thousands",,,316,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2007","2007","PER","Persons","3","thousands",,,388,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2008","2008","PER","Persons","3","thousands",,,460,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2009","2009","PER","Persons","3","thousands",,,390,,
